City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,293.73,82,8,11.12,PN,1696190710
1,thompson,55.7435,-97.8558,278.24,93,100,3.09,CA,1696190566
2,uliastay,47.7417,96.8444,274.9,86,28,1.94,MN,1696190710
3,happy valley-goose bay,53.3168,-60.3315,286.32,47,75,12.35,CA,1696190711
4,vilyuysk,63.7553,121.6247,278.71,83,100,1.79,RU,1696190711
5,port mathurin,-19.6833,63.4167,296.29,76,3,7.92,MU,1696190711
6,ushuaia,-54.8,-68.3,278.96,45,20,5.66,AR,1696190147
7,axim,4.8699,-2.2405,298.39,90,53,4.08,GH,1696190712
8,waitangi,-43.9535,-176.5597,286.38,89,50,3.13,NZ,1696190712
9,port-aux-francais,-49.35,70.2167,279.71,96,100,18.36,TF,1696190712
10,edinburgh of the seven seas,-37.0676,-12.3116,283.01,61,100,10.61,SH,1696190712
11,sitka,57.0531,-135.33,285.09,87,100,6.17,US,1696190712
12,port elizabeth,-33.918,25.5701,289.31,73,0,5.14,ZA,1696190492
13,ayr,55.4627,-4.6339,285.65,82,20,3.09,GB,1696190712
14,callao,-12.0667,-77.15,295.31,68,20,4.63,PE,1696190713
15,saipan,15.1355,145.701,300.54,94,40,2.06,MP,1696190713
16,grytviken,-54.2811,-36.5092,277.56,77,4,4.52,GS,1696190713
17,margaret river,-33.95,115.0667,284.0,69,99,11.16,AU,1696190713
18,oranjemund,-28.55,16.4333,289.14,72,0,2.87,NA,1696190713
19,miranda,3.2499,-76.2281,304.22,64,99,1.22,CO,1696190713
20,stanley,54.868,-1.6985,286.92,91,20,0.0,GB,1696190713
21,hithadhoo,-0.6,73.0833,300.91,74,59,5.45,MV,1696190714
22,uturoa,-16.7333,-151.4333,299.17,79,52,8.17,PF,1696190714
23,san juan de miraflores,-12.1629,-76.9635,294.44,75,51,4.24,PE,1696190714
24,papatowai,-46.5619,169.4708,287.53,65,37,7.1,NZ,1696190714
25,st. john's,47.5649,-52.7093,291.81,63,20,7.2,CA,1696190710
